paper_id,title,authors,year,doi,material,manufacturing_process,heat_treatment,surface_state,defect_type,pore_size,pore_location,porosity,stress_ratio_R,Nf,fatigue_limit,da_dN,Paris_C,Paris_m,Delta_Kth,main_conclusion,paper_type_primary,paper_type_secondary,research_topic,storage_folder,tags,is_review,is_experimental,is_fcgr,is_micro_ct,is_heat_treatment,is_surface_roughness,is_conflict_relevant,classification_reason,classification_confidence,ingested_from
LPBF_0011,Effect of Surface Roughness on Fatigue Strength of Ti-6Al-4V Alloy Manufactured by Additive Manufacturing,Masanori Nakatani; Hiroshige Masuo; Yuzo Tanaka; Yukitaka MURAKAMI,2019,10.1016/j.prostr.2019.12.032,Ti-6Al-4V,,,,,,,,,,,,,,,,surface_roughness,,,surface_roughness,surface_roughness,,,,,,,,,,
LPBF_0012,Effect of hirtisation on the roughness and fatigue performance of porous titanium lattice structures,Reece N. Oosterbeek; Gabriela Sirbu; Selma Hansal; Kenneth Nai; Jonathan R.T. Jeffers,2023,10.48550/arxiv.2304.06621,Ti-6Al-4V,,,,,,,,,,,,,,,,surface_roughness,,,surface_roughness,surface_roughness,,,,,,,,,,
LPBF_0013,Effects of Build Direction and Heat Treatment on the Defect Characterization and Fatigue Properties of Laser Powder Bed Fusion Ti6Al4V,Wenbo Sun; Yue Ma; Peiyao Li; Ziad Moumni; Weihong Zhang,2024,10.3390/aerospace11100854,Ti-6Al-4V,,,,,,,,,,,,,,,,hip_heat_treatment,,,hip_heat_treatment,hip_heat_treatment,,,,,,,,,,
LPBF_0014,The role of microstructural evolution on the fatigue behavior of additively manufactured Ti–6Al–4V alloy,Bryan Naab; Mert Çelikin,2022,10.1016/j.msea.2022.144232,Ti-6Al-4V,,,,,,,,,,,,,,,,hip_heat_treatment,,,hip_heat_treatment,hip_heat_treatment,,,,,,,,,,
LPBF_0015,Fatigue crack growth behavior of laser powder bed fusion additive manufactured Ti-6Al-4V: Roles of post heat treatment and build orientation,M. Tarik Hasib; Halsey E. Ostergaard; Xiaopeng Li; Jamie J. Kruzic,2020,10.1016/j.ijfatigue.2020.105955,Ti-6Al-4V,,,,,,,,,,,,,,,,fcgr_paris_law,hip_heat_treatment,,fcgr_paris_law,heat treatment,,,,,,,,,,
LPBF_0016,Near-threshold fatigue crack growth rates of laser powder bed fusion produced Ti-6Al-4V,Thorsten Hermann Becker; Nur Mohamed Dhansay; Gerrit Matthys Ter Haar; Kim Vanmeensel,2020,10.1016/j.actamat.2020.07.049,Ti-6Al-4V,,,,,,,,,,,,,,,,fcgr_paris_law,defect_tolerance_models,,fcgr_paris_law,threshold,,,,,,,,,,
LPBF_0017,Representing crack growth in additively manufactured Ti-6Al-4V,R. Jones; John G. Michopoulos; Athanasios Iliopoulos; R.K. Singh Raman; Nam Phan,2018,10.1016/j.ijfatigue.2018.07.019,Ti-6Al-4V,,,,,,,,,,,,,,,,fcgr_paris_law,,,fcgr_paris_law,fcgr_paris_law,,,,,,,,,,
LPBF_0018,Fatigue crack growth in Ti-6Al-4V specimens produced by Laser Powder Bed Fusion and submitted to Hot Isostatic Pressing,J.S. Jesus; L.P. Borrego; J.A.M. Ferreira; J.D. Costa; António Castanhola Batista,2022,10.1016/j.tafmec.2021.103231,Ti-6Al-4V,,,,,,,,,,,,,,,,fcgr_paris_law,,,fcgr_paris_law,fcgr_paris_law,,,,,,,,,,
LPBF_0019,Overloading effect on transient fatigue crack growth of Ti-6Al-4V parts produced by Laser Powder Bed Fusion,L.P. Borrego; J.S. Jesus; J.A.M. Ferreira; J.D. Costa; C. Capela,2022,10.1016/j.prostr.2022.01.092,Ti-6Al-4V,,,,,,,,,,,,,,,,fcgr_paris_law,,,fcgr_paris_law,fcgr_paris_law,,,,,,,,,,
LPBF_0020,Fatigue crack growth under corrosive environments of Ti-6Al-4V specimens produced by SLM,J.S. Jesus; L.P. Borrego; J.A.M. Ferreira; J.D. Costa; C. Capela,2020,10.1016/j.engfailanal.2020.104852,Ti-6Al-4V,,,,,,,,,,,,,,,,fcgr_paris_law,,,fcgr_paris_law,fcgr_paris_law,,,,,,,,,,
LPBF_0021,"Comparison of the Corrosion Fatigue Characteristics of CP Ti-Grade 4, Ti-6Al-4V ELI, Ti-6Al-7Nb, and Ti-15Mo",MD Roach; RS Williamson; LD Zardiackas,2005,10.1520/jai12786,Ti-6Al-4V,L-PBF,,,,,,,,,,,,,,,experimental_fatigue_paper,,疲劳实验与S-N数据,experimental_papers,L-PBF Ti-6Al-4V fatigue,False,True,False,False,False,False,False,匹配 1 个类型：L-PBF Ti-6Al-4V fatigue,medium,auto_search_Crossref
LPBF_0022,The effect of surface topography and porosity on the tensile fatigue of 3D printed Ti-6Al-4V fabricated by selective laser melting,Cambre Kelly; Nathan T. Evans; Cameron W. Irvin; Savita C. Chapman; Ken Gall,2019,10.1016/j.msec.2019.01.024,Ti-6Al-4V,L-PBF,,,,,,,,,,,,,,,experimental_fatigue_paper,,疲劳实验与S-N数据,experimental_papers,L-PBF Ti-6Al-4V fatigue,False,True,False,False,False,False,False,匹配 1 个类型：L-PBF Ti-6Al-4V fatigue,medium,auto_search_OpenAlex
