rank,variable,target_indicator,evidence_count_score,evidence_quality_score,directness_score,parameter_score,consistency_score,validation_feasibility_score,total_relevance_score,reason
25,"columnar grains of prior β-phase, fine lamellar microstructure consisting completely of α-phase and α′-martensite",fatigue life,0,3,0,1,3,2,9,变量在文献中有所涉及
26,"α′ martensite, lamellar α+β","fatigue life Nf, tensile strength, ultimate strength, elongation at break受α′ martensite, lamellar α+β影响, monotonic properties, low and HCF properties, fracture behaviour受α′ martensite, lamellar α+β影响",0,3,0,1,3,2,9,变量在文献中有所涉及
27,room temperature,"room temperature下DKth, room temperature下['S-N curve', 'fatigue strength'], room temperature下['fatigue life', 'S-N curve']",0,3,0,1,3,2,9,变量在文献中有所涉及
28,Kitagawa–Takahashi diagram,疲劳寿命预测/裂纹扩展速率预测,0,3,0,1,3,2,9,变量在文献中有所涉及
29,Additive manufacturing,Fatigue life,0,3,0,1,3,2,9,变量在文献中有所涉及
30,variable amplitude loading,variable amplitude下的Fatigue life,0,3,0,1,3,2,9,变量在文献中有所涉及
31,Palmgren-Miner’s rule,疲劳寿命预测/裂纹扩展速率预测,0,3,0,1,3,2,9,变量在文献中有所涉及
32,Room temperature,"Room temperature下FCGRs, Room temperature下Fatigue life, Room temperature下['Fatigue crack initiation sites', 'Crack growth rate']",0,3,0,1,3,2,9,变量在文献中有所涉及
33,"lamellar α+β, grain size","FCGRs受lamellar α+β, grain size影响",0,3,0,1,3,2,9,变量在文献中有所涉及
34,Linear elastic fracture mechanics (LEFM),疲劳寿命预测/裂纹扩展速率预测,0,3,0,1,3,2,9,变量在文献中有所涉及
35,α′ martensite,"['Fatigue strength', 'Fatigue life']受α′ martensite影响, ['ΔKth', '疲劳寿命Nf']受α′ martensite影响, 疲劳FCGR(FCGRs)受α′ martensite影响",0,3,0,1,3,2,9,变量在文献中有所涉及
36,Smith-Watson-Topper energy-based parameter,疲劳寿命预测/裂纹扩展速率预测,0,3,0,1,3,2,9,变量在文献中有所涉及
37,"L-PBF, Selective EBM",Fatigue life,0,3,0,1,3,2,9,变量在文献中有所涉及
38,Laser additive manufacturing,"fatigue life Nf, tensile strength, ultimate strength, elongation at break",0,3,0,1,3,2,9,变量在文献中有所涉及
39,"stress relief at 650°C for 3 h in vacuum, hot-isostatic-pressing at 920°C and 10","fatigue life Nf, tensile strength, ultimate strength, elongation at break",0,3,0,1,3,2,9,变量在文献中有所涉及
40,Vacuum or Argon atmosphere at 800°C and 1050°C for 2 h,"['Fatigue strength', 'Crack growth performance']",0,3,0,1,3,2,9,变量在文献中有所涉及
41,Ambient conditions,"Ambient conditions下['Fatigue strength', 'Crack growth performance']",0,3,0,1,3,2,9,变量在文献中有所涉及
42,Not explicitly mentioned,"疲劳寿命预测/裂纹扩展速率预测, 裂纹起裂受Not explicitly mentioned控制",0,3,0,1,3,2,9,变量在文献中有所涉及
43,EBM (EBM),"['fatigue life', 'S-N curve']",0,3,0,1,3,2,9,变量在文献中有所涉及
44,955 ℃保温120 min，随后升温至1000 ℃保温40 min，空冷；730 ℃时效130 min，空冷,疲劳寿命Nf,0,3,0,1,3,2,9,变量在文献中有所涉及
45,L-PBF增材制造,"['ΔKth', '疲劳寿命Nf'], da/dN, 疲劳FCGR(FCGRs)",0,3,0,0,3,2,8,变量在文献中有所涉及
46,HIP (Hot Isostatic Pressing),fatigue life,0,3,0,0,3,2,8,变量在文献中有所涉及
47,coarser α′/α lath thickness,fatigue crack growth rate (FCGR),0,3,0,0,3,2,8,变量在文献中有所涉及
48,R value (stress ratio),fatigue crack growth behavior,0,3,0,0,3,2,8,变量在文献中有所涉及
49,unfused particles and lack of fusion zones,fatigue life,0,3,0,0,3,2,8,变量在文献中有所涉及
50,L-PBF,"DKth, Internal defects in L-PBF Ti-6Al-4V act as initiation sites for fatigue cracks.; Intrinsic defects significantly impact the fatigue life of L-PBF Ti-6Al-4V components.; Post-processing treatments such, ['Fatigue life']",0,3,0,0,3,2,8,变量在文献中有所涉及
51,annealing,DKth,0,3,0,0,3,2,8,变量在文献中有所涉及
52,LCF loading,"LCF下的DKth, LCF下的['Fatigue strength', 'Fatigue life'], LCF下的fatigue life Nf, tensile strength, ultimate strength, elongation at break",0,3,0,0,3,2,8,变量在文献中有所涉及
53,grain size,DKth受grain size影响,0,3,0,0,3,2,8,变量在文献中有所涉及
54,Best fit line,疲劳寿命预测/裂纹扩展速率预测,0,3,0,0,3,2,8,变量在文献中有所涉及
55,L-PBF (L-PBF),"['Fatigue crack initiation sites', 'Crack growth rate'], ['Fatigue life', 'S–N curves'], ['Fatigue strength', 'Crack growth performance']",0,3,0,0,3,2,8,变量在文献中有所涉及
56,['Basquin’s law'],疲劳寿命预测/裂纹扩展速率预测,0,3,0,0,3,2,8,变量在文献中有所涉及
57,Laser Sintering,Fatigue life,0,3,0,0,3,2,8,变量在文献中有所涉及
58,Stress relieving + Hot Isostatic Pressing,Fatigue life,0,3,0,0,3,2,8,变量在文献中有所涉及
59,DED (DED),FCGRs,0,3,0,0,3,2,8,变量在文献中有所涉及
60,"hot isostatic pressing 820 °C, 950 °C; annealing 1020 °C",疲劳FCGR(FCGRs),0,3,0,0,3,2,8,变量在文献中有所涉及
61,Paris公式,疲劳寿命预测/裂纹扩展速率预测,0,3,0,0,3,2,8,变量在文献中有所涉及
62,670°C for 5 h,"['Fatigue strength', 'Fatigue life']",0,3,0,0,3,2,8,变量在文献中有所涉及
63,NASGRO,疲劳寿命预测/裂纹扩展速率预测,0,3,0,0,3,2,8,变量在文献中有所涉及
64,FEA-Net,疲劳寿命预测/裂纹扩展速率预测,0,3,0,0,3,2,8,变量在文献中有所涉及
65,650°C for 2 hours,"['Fatigue life'], 疲劳寿命Nf",0,3,0,0,3,2,8,变量在文献中有所涉及
66,Drop-out神经网络模型,疲劳寿命预测/裂纹扩展速率预测,0,3,0,0,3,2,8,变量在文献中有所涉及
67,Drop-out neural network (DONN),疲劳寿命预测/裂纹扩展速率预测,0,3,0,0,3,2,8,变量在文献中有所涉及
68,pre-torsion,"['S-N curve', 'fatigue strength']",0,3,0,0,3,2,8,变量在文献中有所涉及
69,equiaxed α+β,"['S-N curve', 'fatigue strength']受equiaxed α+β影响",0,3,0,0,3,2,8,变量在文献中有所涉及
70,有限元方法,疲劳寿命预测/裂纹扩展速率预测,0,3,0,0,3,2,8,变量在文献中有所涉及
71,ranking strategies,疲劳寿命预测/裂纹扩展速率预测,0,3,0,0,3,2,8,变量在文献中有所涉及
72,"真空自耗电弧熔炼, 多火次锻造",疲劳寿命Nf,0,3,0,0,3,2,8,变量在文献中有所涉及
73,"BP神经网络, 广义回归神经网络, 支持向量机回归",疲劳寿命预测/裂纹扩展速率预测,0,3,0,0,3,2,8,变量在文献中有所涉及
