research_object,variable_type,variable_name,variable_range,property_or_result,mechanism,evidence,missing_evidence,future_hypothesis,feasibility_level,source_paper
AM Ti-6Al-4V,loading_condition,HCF loading,文献中使用的载荷参数,"HCF下的monotonic properties, low and HCF properties, fracture behaviour",HCF条件下裂纹萌生与扩展机制,文献研究AM Ti-6Al-4V的HCF行为,缺乏AM Ti-6Al-4V在HCF下的多因素耦合研究,AM Ti-6Al-4V在HCF条件下的寿命预测模型需考虑缺陷-组织耦合效应,B,A Review of the As-Built SLM Ti-6Al-4V Mechanical Properties towards Achieving Fatigue Resistant Designs
AM Ti-6Al-4V,microstructure,"α′ martensite, lamellar α+β",文献中报告的组织特征参数,"monotonic properties, low and HCF properties, fracture behaviour受α′ martensite, lamellar α+β影响","α′ martensite, lamellar α+β影响裂纹萌生位置和扩展路径，决定疲劳抗力","The microstructure of SLM Ti-6Al-4V is highly dependent on processing parameters such as layer thickness, scan strategy, and laser power.; In situ transformation of α′ martensite into lamellar (α + β)","缺乏AM Ti-6Al-4V中α′ martensite, lamellar α+β与FCGR的定量关系","调控AM Ti-6Al-4V的α′ martensite, lamellar α+β可优化疲劳裂纹扩展抗力",B,A Review of the As-Built SLM Ti-6Al-4V Mechanical Properties towards Achieving Fatigue Resistant Designs
AM Ti-6Al-4V,temperature_environment,room temperature,room temperature,"room temperature下monotonic properties, low and HCF properties, fracture behaviour",room temperature环境影响裂纹萌生与扩展机制,"The microstructure of SLM Ti-6Al-4V is highly dependent on processing parameters such as layer thickness, scan strategy, and laser power.; In situ transformation of α′ martensite into lamellar (α + β)",缺乏AM Ti-6Al-4V在room temperature下疲劳性能的系统数据,AM Ti-6Al-4V在room temperature下的疲劳机制与室温不同需单独研究,B,A Review of the As-Built SLM Ti-6Al-4V Mechanical Properties towards Achieving Fatigue Resistant Designs
AM Ti-6Al-4V,manufacturing_process,L-PBF,文献中描述的工艺参数,DKth,crack deflection by prior-beta grain boundaries,文献采用L-PBF制备AM Ti-6Al-4V,缺乏L-PBF工艺参数→组织→疲劳性能的完整定量链,优化L-PBF工艺参数可降低缺陷密度提升AM Ti-6Al-4V疲劳性能,B,A Review of the Fatigue Properties of Additively Manufactured Ti-6Al-4V
AM Ti-6Al-4V,heat_treatment,annealing,annealing,DKth,热处理(annealing)改变α/β相比例和片层厚度，影响裂纹扩展路径,Surface roughness has a significant negative impact on fatigue performance.; Post-processing treatments like HIP improve fatigue properties significantly.; Microstructure anisotropy affects fatigue cr,缺乏AM Ti-6Al-4V不同热处理制度的疲劳性能系统对比数据,优化AM Ti-6Al-4V热处理制度可提升疲劳裂纹扩展抗力,B,A Review of the Fatigue Properties of Additively Manufactured Ti-6Al-4V
AM Ti-6Al-4V,loading_condition,LCF loading,文献中使用的载荷参数,LCF下的DKth,LCF条件下crack deflection by prior-beta grain boundaries,文献研究AM Ti-6Al-4V的LCF行为,缺乏AM Ti-6Al-4V在LCF下的多因素耦合研究,AM Ti-6Al-4V在LCF条件下的寿命预测模型需考虑缺陷-组织耦合效应,B,A Review of the Fatigue Properties of Additively Manufactured Ti-6Al-4V
AM Ti-6Al-4V,microstructure,grain size,文献中报告的组织特征参数,DKth受grain size影响,grain size影响裂纹萌生位置和扩展路径，决定疲劳抗力,Surface roughness has a significant negative impact on fatigue performance.; Post-processing treatments like HIP improve fatigue properties significantly.; Microstructure anisotropy affects fatigue cr,缺乏AM Ti-6Al-4V中grain size与FCGR的定量关系,调控AM Ti-6Al-4V的grain size可优化疲劳裂纹扩展抗力,B,A Review of the Fatigue Properties of Additively Manufactured Ti-6Al-4V
AM Ti-6Al-4V,temperature_environment,room temperature,room temperature,room temperature下DKth,room temperature环境影响crack deflection by prior-beta grain boundaries,Surface roughness has a significant negative impact on fatigue performance.; Post-processing treatments like HIP improve fatigue properties significantly.; Microstructure anisotropy affects fatigue cr,缺乏AM Ti-6Al-4V在room temperature下疲劳性能的系统数据,AM Ti-6Al-4V在room temperature下的疲劳机制与室温不同需单独研究,B,A Review of the Fatigue Properties of Additively Manufactured Ti-6Al-4V
AM Ti-6Al-4V,model_parameter,Kitagawa–Takahashi diagram,文献中使用的模型参数,疲劳寿命预测/裂纹扩展速率预测,Kitagawa–Takahashi diagram用于建立变量与疲劳性能之间的定量关系,文献使用Kitagawa–Takahashi diagram分析AM Ti-6Al-4V疲劳数据,缺乏Kitagawa–Takahashi diagram在不同AM Ti-6Al-4V工艺条件下的泛化能力验证,融合物理机制的Kitagawa–Takahashi diagram可提升AM Ti-6Al-4V疲劳寿命预测精度,B,A Review of the Fatigue Properties of Additively Manufactured Ti-6Al-4V
AM Ti-6Al-4V,testing_method,surface defects,文献中观察到的起裂位置和机制,裂纹起裂受surface defects控制,surface defects,Surface roughness has a significant negative impact on fatigue performance.; Post-processing treatments like HIP improve fatigue properties significantly.; Microstructure anisotropy affects fatigue cr,缺乏裂纹起裂机制的定量判据和预测模型,AM Ti-6Al-4V的裂纹起裂机制在缺陷和组织特征之间存在竞争关系,B,A Review of the Fatigue Properties of Additively Manufactured Ti-6Al-4V
AM Ti-6Al-4V,defect,pore defect,文献中报告的孔隙尺寸和分布,Fatigue life,孔隙缺陷在循环载荷下引发局部应力集中，促进裂纹在孔隙边缘萌生,Additive manufacturing of Ti–6Al–4V shows promise but requires further understanding of fatigue performance.; Defects such as porosity significantly affect fatigue crack initiation.; HIP treatment imp,缺乏孔隙特征(尺寸/位置/形态)与疲劳寿命的定量关系数据,AM Ti-6Al-4V的孔隙特征参量可定量预测疲劳寿命,B,Critical assessment of the fatigue performance of additively manufactured Ti–6Al–4V and perspective for future research
AM Ti-6Al-4V,manufacturing_process,Additive manufacturing,文献中描述的工艺参数,Fatigue life,制备工艺参数影响微观组织和缺陷特征，进而影响疲劳性能,文献采用Additive manufacturing制备AM Ti-6Al-4V,缺乏Additive manufacturing工艺参数→组织→疲劳性能的完整定量链,优化Additive manufacturing工艺参数可降低缺陷密度提升AM Ti-6Al-4V疲劳性能,B,Critical assessment of the fatigue performance of additively manufactured Ti–6Al–4V and perspective for future research
AM Ti-6Al-4V,model_parameter,Best fit line,文献中使用的模型参数,疲劳寿命预测/裂纹扩展速率预测,Best fit line用于建立变量与疲劳性能之间的定量关系,文献使用Best fit line分析AM Ti-6Al-4V疲劳数据,缺乏Best fit line在不同AM Ti-6Al-4V工艺条件下的泛化能力验证,融合物理机制的Best fit line可提升AM Ti-6Al-4V疲劳寿命预测精度,B,Critical assessment of the fatigue performance of additively manufactured Ti–6Al–4V and perspective for future research
AM Ti-6Al-4V,testing_method,Porosity-type defects,文献中观察到的起裂位置和机制,裂纹起裂受Porosity-type defects控制,Porosity-type defects,Additive manufacturing of Ti–6Al–4V shows promise but requires further understanding of fatigue performance.; Defects such as porosity significantly affect fatigue crack initiation.; HIP treatment imp,缺乏裂纹起裂机制的定量判据和预测模型,AM Ti-6Al-4V的裂纹起裂机制在缺陷和组织特征之间存在竞争关系,B,Critical assessment of the fatigue performance of additively manufactured Ti–6Al–4V and perspective for future research
AM Ti-6Al-4V,defect,pore defect,文献中报告的孔隙尺寸和分布,"['Fatigue life', 'S–N curves']",孔隙缺陷在循环载荷下引发局部应力集中，促进裂纹在孔隙边缘萌生,Surface roughness significantly affects fatigue performance.; Keyhole porosity has a major impact on fatigue life.; Basquin’s law fits well with experimental S–N curves except for keyhole porosity.,缺乏孔隙特征(尺寸/位置/形态)与疲劳寿命的定量关系数据,AM Ti-6Al-4V的孔隙特征参量可定量预测疲劳寿命,B,Effects of Process Parameters and Process Defects on the Flexural Fatigue Life of Ti-6Al-4V Fabricated by Laser Powder Bed Fusion
AM Ti-6Al-4V,surface_state,surface roughness,as-built表面粗糙度Ra值,疲劳寿命Nf/疲劳强度,表面粗糙度造成局部应力集中，成为裂纹优先萌生位置,Surface roughness significantly affects fatigue performance.; Keyhole porosity has a major impact on fatigue life.; Basquin’s law fits well with experimental S–N curves except for keyhole porosity.,缺乏表面粗糙度特征(峰谷参数/应力集中系数)与疲劳寿命的定量模型,AM Ti-6Al-4V表面粗糙度的临界值下疲劳寿命无明显降低,B,Effects of Process Parameters and Process Defects on the Flexural Fatigue Life of Ti-6Al-4V Fabricated by Laser Powder Bed Fusion
AM Ti-6Al-4V,manufacturing_process,L-PBF (L-PBF),文献中描述的工艺参数,"['Fatigue life', 'S–N curves']",制备工艺参数影响微观组织和缺陷特征，进而影响疲劳性能,文献采用L-PBF (L-PBF)制备AM Ti-6Al-4V,缺乏L-PBF (L-PBF)工艺参数→组织→疲劳性能的完整定量链,优化L-PBF (L-PBF)工艺参数可降低缺陷密度提升AM Ti-6Al-4V疲劳性能,B,Effects of Process Parameters and Process Defects on the Flexural Fatigue Life of Ti-6Al-4V Fabricated by Laser Powder Bed Fusion
AM Ti-6Al-4V,model_parameter,['Basquin’s law'],文献中使用的模型参数,疲劳寿命预测/裂纹扩展速率预测,['Basquin’s law']用于建立变量与疲劳性能之间的定量关系,文献使用['Basquin’s law']分析AM Ti-6Al-4V疲劳数据,缺乏['Basquin’s law']在不同AM Ti-6Al-4V工艺条件下的泛化能力验证,融合物理机制的['Basquin’s law']可提升AM Ti-6Al-4V疲劳寿命预测精度,B,Effects of Process Parameters and Process Defects on the Flexural Fatigue Life of Ti-6Al-4V Fabricated by Laser Powder Bed Fusion
AM Ti-6Al-4V,surface_state,surface roughness,as-built表面粗糙度Ra值,疲劳寿命Nf/疲劳强度,表面粗糙度造成局部应力集中，成为裂纹优先萌生位置,"The fatigue behaviour for variable amplitude loading is not always consistent with constant amplitude loading.; The predicted and experimental fatigue life was overall consistent, although most experi",缺乏表面粗糙度特征(峰谷参数/应力集中系数)与疲劳寿命的定量模型,AM Ti-6Al-4V表面粗糙度的临界值下疲劳寿命无明显降低,B,"Fatigue behaviour of additive manufactured Ti6Al4V, with as-built surfaces, exposed to variable amplitude loading"
AM Ti-6Al-4V,manufacturing_process,Laser Sintering,文献中描述的工艺参数,Fatigue life,制备工艺参数影响微观组织和缺陷特征，进而影响疲劳性能,文献采用Laser Sintering制备AM Ti-6Al-4V,缺乏Laser Sintering工艺参数→组织→疲劳性能的完整定量链,优化Laser Sintering工艺参数可降低缺陷密度提升AM Ti-6Al-4V疲劳性能,B,"Fatigue behaviour of additive manufactured Ti6Al4V, with as-built surfaces, exposed to variable amplitude loading"
AM Ti-6Al-4V,heat_treatment,Stress relieving + Hot Isostatic Pressing,Stress relieving + Hot Isostatic Pressing,Fatigue life,热处理(Stress relieving + Hot Isostatic Pressing)改变α/β相比例和片层厚度，影响裂纹扩展路径,"The fatigue behaviour for variable amplitude loading is not always consistent with constant amplitude loading.; The predicted and experimental fatigue life was overall consistent, although most experi",缺乏AM Ti-6Al-4V不同热处理制度的疲劳性能系统对比数据,优化AM Ti-6Al-4V热处理制度可提升疲劳裂纹扩展抗力,B,"Fatigue behaviour of additive manufactured Ti6Al4V, with as-built surfaces, exposed to variable amplitude loading"
AM Ti-6Al-4V,loading_condition,variable amplitude loading,文献中使用的载荷参数,variable amplitude下的Fatigue life,variable amplitude条件下裂纹萌生与扩展机制,文献研究AM Ti-6Al-4V的variable amplitude行为,缺乏AM Ti-6Al-4V在variable amplitude下的多因素耦合研究,AM Ti-6Al-4V在variable amplitude条件下的寿命预测模型需考虑缺陷-组织耦合效应,B,"Fatigue behaviour of additive manufactured Ti6Al4V, with as-built surfaces, exposed to variable amplitude loading"
AM Ti-6Al-4V,model_parameter,Palmgren-Miner’s rule,文献中使用的模型参数,疲劳寿命预测/裂纹扩展速率预测,Palmgren-Miner’s rule用于建立变量与疲劳性能之间的定量关系,文献使用Palmgren-Miner’s rule分析AM Ti-6Al-4V疲劳数据,缺乏Palmgren-Miner’s rule在不同AM Ti-6Al-4V工艺条件下的泛化能力验证,融合物理机制的Palmgren-Miner’s rule可提升AM Ti-6Al-4V疲劳寿命预测精度,B,"Fatigue behaviour of additive manufactured Ti6Al4V, with as-built surfaces, exposed to variable amplitude loading"
AM Ti-6Al-4V,temperature_environment,Room temperature,Room temperature,Room temperature下Fatigue life,Room temperature环境影响裂纹萌生与扩展机制,The fatigue behaviour for variable amplitude loading of Ti6Al4V with rough as-built surfaces was investigated using the Short-FALSTAFF load sequence.; The predicted and experimental fatigue life were ,缺乏AM Ti-6Al-4V在Room temperature下疲劳性能的系统数据,AM Ti-6Al-4V在Room temperature下的疲劳机制与室温不同需单独研究,B,"Fatigue behaviour of additive manufactured Ti6Al4V, with as-built surfaces, exposed to variable amplitude loading"
AM Ti-6Al-4V,defect,pore defect,文献中报告的孔隙尺寸和分布,FCGRs,孔隙缺陷在循环载荷下引发局部应力集中，促进裂纹在孔隙边缘萌生,LENS fabricated Ti-6Al-4V exhibits comparable mechanical properties to conventional materials.; Heat treatment can eliminate porosity and improve fatigue strength.; Microstructurally-small cracks are ,缺乏孔隙特征(尺寸/位置/形态)与疲劳寿命的定量关系数据,AM Ti-6Al-4V的孔隙特征参量可定量预测疲劳寿命,B,Fatigue crack growth behavior and microstructural mechanisms in Ti-6Al-4V manufactured by laser engineered net shaping
AM Ti-6Al-4V,manufacturing_process,DED (DED),文献中描述的工艺参数,FCGRs,Influence of microstructure on crack growth,文献采用DED (DED)制备AM Ti-6Al-4V,缺乏DED (DED)工艺参数→组织→疲劳性能的完整定量链,优化DED (DED)工艺参数可降低缺陷密度提升AM Ti-6Al-4V疲劳性能,B,Fatigue crack growth behavior and microstructural mechanisms in Ti-6Al-4V manufactured by laser engineered net shaping
AM Ti-6Al-4V,heat_treatment,Post-LENS heat treatment,Post-LENS heat treatment,FCGRs,热处理(Post-LENS heat treatment)改变α/β相比例和片层厚度，影响裂纹扩展路径,LENS fabricated Ti-6Al-4V exhibits comparable mechanical properties to conventional materials.; Heat treatment can eliminate porosity and improve fatigue strength.; Microstructurally-small cracks are ,缺乏AM Ti-6Al-4V不同热处理制度的疲劳性能系统对比数据,优化AM Ti-6Al-4V热处理制度可提升疲劳裂纹扩展抗力,B,Fatigue crack growth behavior and microstructural mechanisms in Ti-6Al-4V manufactured by laser engineered net shaping
AM Ti-6Al-4V,loading_condition,FCGR loading,文献中使用的载荷参数,FCGR下的FCGRs,FCGR条件下Influence of microstructure on crack growth,文献研究AM Ti-6Al-4V的FCGR行为,缺乏AM Ti-6Al-4V在FCGR下的多因素耦合研究,AM Ti-6Al-4V在FCGR条件下的寿命预测模型需考虑缺陷-组织耦合效应,B,Fatigue crack growth behavior and microstructural mechanisms in Ti-6Al-4V manufactured by laser engineered net shaping
AM Ti-6Al-4V,microstructure,"lamellar α+β, grain size",文献中报告的组织特征参数,"FCGRs受lamellar α+β, grain size影响","lamellar α+β, grain size影响裂纹萌生位置和扩展路径，决定疲劳抗力",LENS fabricated Ti-6Al-4V exhibits comparable mechanical properties to conventional materials.; Heat treatment can eliminate porosity and improve fatigue strength.; Microstructurally-small cracks are ,"缺乏AM Ti-6Al-4V中lamellar α+β, grain size与FCGR的定量关系","调控AM Ti-6Al-4V的lamellar α+β, grain size可优化疲劳裂纹扩展抗力",B,Fatigue crack growth behavior and microstructural mechanisms in Ti-6Al-4V manufactured by laser engineered net shaping
AM Ti-6Al-4V,temperature_environment,Room temperature,Room temperature,Room temperature下FCGRs,Room temperature环境影响Influence of microstructure on crack growth,LENS fabricated Ti-6Al-4V exhibits comparable mechanical properties to conventional materials.; Heat treatment can eliminate porosity and improve fatigue strength.; Microstructurally-small cracks are ,缺乏AM Ti-6Al-4V在Room temperature下疲劳性能的系统数据,AM Ti-6Al-4V在Room temperature下的疲劳机制与室温不同需单独研究,B,Fatigue crack growth behavior and microstructural mechanisms in Ti-6Al-4V manufactured by laser engineered net shaping
AM Ti-6Al-4V,model_parameter,Linear elastic fracture mechanics (LEFM),文献中使用的模型参数,疲劳寿命预测/裂纹扩展速率预测,Linear elastic fracture mechanics (LEFM)用于建立变量与疲劳性能之间的定量关系,文献使用Linear elastic fracture mechanics (LEFM)分析AM Ti-6Al-4V疲劳数据,缺乏Linear elastic fracture mechanics (LEFM)在不同AM Ti-6Al-4V工艺条件下的泛化能力验证,融合物理机制的Linear elastic fracture mechanics (LEFM)可提升AM Ti-6Al-4V疲劳寿命预测精度,B,Fatigue crack growth behavior and microstructural mechanisms in Ti-6Al-4V manufactured by laser engineered net shaping
AM Ti-6Al-4V,testing_method,Porosity and lack-of-fusion defects,文献中观察到的起裂位置和机制,裂纹起裂受Porosity and lack-of-fusion defects控制,Porosity and lack-of-fusion defects,LENS fabricated Ti-6Al-4V exhibits comparable mechanical properties to conventional materials.; Heat treatment can eliminate porosity and improve fatigue strength.; Microstructurally-small cracks are ,缺乏裂纹起裂机制的定量判据和预测模型,AM Ti-6Al-4V的裂纹起裂机制在缺陷和组织特征之间存在竞争关系,B,Fatigue crack growth behavior and microstructural mechanisms in Ti-6Al-4V manufactured by laser engineered net shaping
AM Ti-6Al-4V,manufacturing_process,L-PBF增材制造,文献中描述的工艺参数,疲劳FCGR(FCGRs),Paris区稳态扩展,文献采用L-PBF增材制造制备AM Ti-6Al-4V,缺乏L-PBF增材制造工艺参数→组织→疲劳性能的完整定量链,优化L-PBF增材制造工艺参数可降低缺陷密度提升AM Ti-6Al-4V疲劳性能,B,Fatigue crack growth behavior of laser powder bed fusion additive manufactured Ti-6Al-4V: Roles of post heat treatment and build orientation
AM Ti-6Al-4V,heat_treatment,"hot isostatic pressing 820 °C, 950 °C; annealing 1020 °C","hot isostatic pressing 820 °C, 950 °C; annealing 1020 °C",疲劳FCGR(FCGRs),"热处理(hot isostatic pressing 820 °C, 950 °C; annealing 1)改变α/β相比例和片层厚度，影响裂纹扩展路径",Coarser α′/α lath thicknesses resulted in slower FCGRs and higher fatigue thresholds.; Texture and build orientation had little influence on fatigue properties.; Fatigue thresholds were defined by the,缺乏AM Ti-6Al-4V不同热处理制度的疲劳性能系统对比数据,优化AM Ti-6Al-4V热处理制度可提升疲劳裂纹扩展抗力,B,Fatigue crack growth behavior of laser powder bed fusion additive manufactured Ti-6Al-4V: Roles of post heat treatment and build orientation
AM Ti-6Al-4V,loading_condition,FCGR loading,文献中使用的载荷参数,FCGR下的疲劳FCGR(FCGRs),FCGR条件下Paris区稳态扩展,文献研究AM Ti-6Al-4V的FCGR行为,缺乏AM Ti-6Al-4V在FCGR下的多因素耦合研究,AM Ti-6Al-4V在FCGR条件下的寿命预测模型需考虑缺陷-组织耦合效应,B,Fatigue crack growth behavior of laser powder bed fusion additive manufactured Ti-6Al-4V: Roles of post heat treatment and build orientation
AM Ti-6Al-4V,microstructure,α′ martensite,文献中报告的组织特征参数,疲劳FCGR(FCGRs)受α′ martensite影响,α′ martensite影响裂纹萌生位置和扩展路径，决定疲劳抗力,Coarser α′/α lath thicknesses resulted in slower FCGRs and higher fatigue thresholds.; Texture and build orientation had little influence on fatigue properties.; Fatigue thresholds were defined by the,缺乏AM Ti-6Al-4V中α′ martensite与FCGR的定量关系,调控AM Ti-6Al-4V的α′ martensite可优化疲劳裂纹扩展抗力,B,Fatigue crack growth behavior of laser powder bed fusion additive manufactured Ti-6Al-4V: Roles of post heat treatment and build orientation
AM Ti-6Al-4V,model_parameter,Paris公式,文献中使用的模型参数,疲劳寿命预测/裂纹扩展速率预测,Paris公式用于建立变量与疲劳性能之间的定量关系,文献使用Paris公式分析AM Ti-6Al-4V疲劳数据,缺乏Paris公式在不同AM Ti-6Al-4V工艺条件下的泛化能力验证,融合物理机制的Paris公式可提升AM Ti-6Al-4V疲劳寿命预测精度,B,Fatigue crack growth behavior of laser powder bed fusion additive manufactured Ti-6Al-4V: Roles of post heat treatment and build orientation
AM Ti-6Al-4V,defect,pore defect,文献中报告的孔隙尺寸和分布,da/dN,孔隙缺陷在循环载荷下引发局部应力集中，促进裂纹在孔隙边缘萌生,R值显著影响疲劳裂纹扩展行为。; 垂直缺口方向的试样表现出最高的阈值应力强度因子范围。; 裂纹路径的曲折性由先前β晶粒和α板条的晶体学取向驱动。,缺乏孔隙特征(尺寸/位置/形态)与疲劳寿命的定量关系数据,AM Ti-6Al-4V的孔隙特征参量可定量预测疲劳寿命,B,"Fatigue crack growth in L-PBF Ti-6Al-4V: Influence of notch orientation, stress ratio, and volumetric defects"
AM Ti-6Al-4V,manufacturing_process,L-PBF增材制造,文献中描述的工艺参数,da/dN,裂纹闭合效应,文献采用L-PBF增材制造制备AM Ti-6Al-4V,缺乏L-PBF增材制造工艺参数→组织→疲劳性能的完整定量链,优化L-PBF增材制造工艺参数可降低缺陷密度提升AM Ti-6Al-4V疲劳性能,B,"Fatigue crack growth in L-PBF Ti-6Al-4V: Influence of notch orientation, stress ratio, and volumetric defects"
AM Ti-6Al-4V,loading_condition,FCGR loading,文献中使用的载荷参数,FCGR下的da/dN,FCGR条件下裂纹闭合效应,文献研究AM Ti-6Al-4V的FCGR行为,缺乏AM Ti-6Al-4V在FCGR下的多因素耦合研究,AM Ti-6Al-4V在FCGR条件下的寿命预测模型需考虑缺陷-组织耦合效应,B,"Fatigue crack growth in L-PBF Ti-6Al-4V: Influence of notch orientation, stress ratio, and volumetric defects"
AM Ti-6Al-4V,manufacturing_process,L-PBF (L-PBF),文献中描述的工艺参数,"['fatigue life', 'fatigue crack growth resistance']",制备工艺参数影响微观组织和缺陷特征，进而影响疲劳性能,文献采用L-PBF (L-PBF)制备AM Ti-6Al-4V,缺乏L-PBF (L-PBF)工艺参数→组织→疲劳性能的完整定量链,优化L-PBF (L-PBF)工艺参数可降低缺陷密度提升AM Ti-6Al-4V疲劳性能,B,Fatigue Crack Initiation and Growth Behaviors of Additively Manufactured Ti-6AI-4V Alloy After Hot Isostatic Pressing Post-Process
AM Ti-6Al-4V,heat_treatment,"annealing at 800°C for 2 h, HIP treatment at 920°C/150 MPa/3 h","annealing at 800°C for 2 h, HIP treatment at 920°C/150 MPa/3 h","['fatigue life', 'fatigue crack growth resistance']","热处理(annealing at 800°C for 2 h, HIP treatment at 920°C)改变α/β相比例和片层厚度，影响裂纹扩展路径",The fatigue lives and fatigue crack growth resistances of most SLM+HIP-processed specimens are much higher than those of traditional wrought material.; The current SLM+HIP-processed Ti-6Al-4V alloy st,缺乏AM Ti-6Al-4V不同热处理制度的疲劳性能系统对比数据,优化AM Ti-6Al-4V热处理制度可提升疲劳裂纹扩展抗力,B,Fatigue Crack Initiation and Growth Behaviors of Additively Manufactured Ti-6AI-4V Alloy After Hot Isostatic Pressing Post-Process
